Track URI,Track Name,Artist URI(s),Artist Name(s),Album URI,Album Name,Album Artist URI(s),Album Artist Name(s),Album Release Date,Album Image URL,Disc Number,Track Number,Track Duration (ms),Track Preview URL,Explicit,Popularity,ISRC,Added By,Added At
spotify:track:4BbXg5wQqVNPbVEGpjsVnv,All I Wanted,spotify:artist:74XFHRwlV6OrjEM0A2NCMF,Paramore,spotify:album:3CaQTJU2Cpx7GXTgenmb2r,Brand New Eyes,spotify:artist:74XFHRwlV6OrjEM0A2NCMF,Paramore,2009-09-25,https://i.scdn.co/image/ab67616d0000b273b9abbedc516dd297039977bd,1,11,225786,https://p.scdn.co/mp3-preview/fadaf634f508c2982f9d94e4e3bb3780e9619732?cid=9950ac751e34487dbbe027c4fd7f8e99,false,70,USAT20902328,,2023-12-01T00:53:34Z
spotify:track:6GPpocnUJbzMNMTJDLYCim,Brick by Boring Brick,spotify:artist:74XFHRwlV6OrjEM0A2NCMF,Paramore,spotify:album:3CaQTJU2Cpx7GXTgenmb2r,Brand New Eyes,spotify:artist:74XFHRwlV6OrjEM0A2NCMF,Paramore,2009-09-25,https://i.scdn.co/image/ab67616d0000b273b9abbedc516dd297039977bd,1,4,253946,https://p.scdn.co/mp3-preview/eb232a55523ae2e6799e18fb51f59a49483a8c77?cid=9950ac751e34487dbbe027c4fd7f8e99,false,57,USAT20902321,,2023-12-01T00:46:41Z
spotify:track:5ZdrNnYV5VZWds4WXKf8kf,Ignorance,spotify:artist:74XFHRwlV6OrjEM0A2NCMF,Paramore,spotify:album:3CaQTJU2Cpx7GXTgenmb2r,Brand New Eyes,spotify:artist:74XFHRwlV6OrjEM0A2NCMF,Paramore,2009-09-25,https://i.scdn.co/image/ab67616d0000b273b9abbedc516dd297039977bd,1,2,218626,https://p.scdn.co/mp3-preview/87faa996ad4d7c39d9f939811a3186c36c5d9deb?cid=9950ac751e34487dbbe027c4fd7f8e99,false,61,USAT20902050,,2023-11-30T11:53:16Z
spotify:track:3lXbHd0EoryoQh3vpevNEP,Firework,spotify:artist:6jJ0s89eD6GaHleKKya26X,Katy Perry,spotify:album:2UG6T6f0Qc9SaBCIcaviLM,Teenage Dream,spotify:artist:6jJ0s89eD6GaHleKKya26X,Katy Perry,2010-01-01,https://i.scdn.co/image/ab67616d0000b2731d955011a3ed477dc77865ad,1,4,227893,,false,74,USCA21001262,,2023-11-30T11:03:24Z
spotify:track:1htQDV8JxSuXG2QsNj5ttr,Last Friday Night (T.G.I.F.),spotify:artist:6jJ0s89eD6GaHleKKya26X,Katy Perry,spotify:album:2UG6T6f0Qc9SaBCIcaviLM,Teenage Dream,spotify:artist:6jJ0s89eD6GaHleKKya26X,Katy Perry,2010-01-01,https://i.scdn.co/image/ab67616d0000b2731d955011a3ed477dc77865ad,1,2,230733,,false,78,USCA21001264,,2023-11-30T10:40:33Z
spotify:track:58SOj91QM6t0edDCbxJPTy,The One That Got Away,spotify:artist:6jJ0s89eD6GaHleKKya26X,Katy Perry,spotify:album:2tATnHgurXCAt2fwXmfN3A,Teenage Dream,spotify:artist:6jJ0s89eD6GaHleKKya26X,Katy Perry,2010-08-24,https://i.scdn.co/image/ab67616d0000b2739a15574d56374777a9ed846d,1,7,227323,,false,17,USCA21001266,,2023-11-30T10:28:35Z
spotify:track:3lKZf71jeNi14udIFPJ29V,I Knew You Were Trouble.,spotify:artist:06HL4z0CvFAxyc27GXpf02,Taylor Swift,spotify:album:1KVKqWeRuXsJDLTW0VuD29,Red (Deluxe Edition),spotify:artist:06HL4z0CvFAxyc27GXpf02,Taylor Swift,2012-10-22,https://i.scdn.co/image/ab67616d0000b273254c8a09649551438b20f4c0,1,4,219720,,false,63,USCJY1231039,,2023-11-30T10:26:14Z
spotify:track:1gL4vMhDV3RgJQmDuY5HK1,Starlight,spotify:artist:06HL4z0CvFAxyc27GXpf02,Taylor Swift,spotify:album:1KVKqWeRuXsJDLTW0VuD29,Red (Deluxe Edition),spotify:artist:06HL4z0CvFAxyc27GXpf02,Taylor Swift,2012-10-22,https://i.scdn.co/image/ab67616d0000b273254c8a09649551438b20f4c0,1,15,220600,,false,46,USCJY1231022,,2023-11-30T10:12:23Z
spotify:track:64yrDBpcdwEdNY9loyEGbX,21 Guns,spotify:artist:7oPftvlwr6VrsViSDV7fJY,Green Day,spotify:album:1AHZd3C3S8m8fFrhFxyk79,21st Century Breakdown,spotify:artist:7oPftvlwr6VrsViSDV7fJY,Green Day,2009-05-15,https://i.scdn.co/image/ab67616d0000b273c2ced39899b0d67cd5a724fa,1,16,321093,https://p.scdn.co/mp3-preview/431b2787cb98a4dea90606248e0a835afbf6b6f3?cid=9950ac751e34487dbbe027c4fd7f8e99,false,76,USRE10900679,,2023-11-30T10:05:01Z
spotify:track:0djibL0KZU7HIQ7Ka1o2mR,Death and All His Friends,spotify:artist:4gzpq5DPGxSnKTe4SA8HAU,Coldplay,spotify:album:6JlhIoegCcjtdbTQbypS8R,Viva La Vida (Prospekt's March Edition),spotify:artist:4gzpq5DPGxSnKTe4SA8HAU,Coldplay,2008-11-24,https://i.scdn.co/image/ab67616d0000b273a1ca3abcdee3085bdbcf5224,1,10,378853,https://p.scdn.co/mp3-preview/cc5e72f738bcc15d7a26f947a639cdde4c243828?cid=9950ac751e34487dbbe027c4fd7f8e99,false,26,GBAYE0800261,,2023-11-30T09:53:51Z
